序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,資工系,112C52933,踂鹣崳,c9ggsjo4fc,0,4,3,8,6,4,3,8,3,3
2,電資資安,111590336,皐嫔熁,cr94xcqmtt,4,3,9,6,0,8,8,7,3,0
3,資工所,112590323,椙弋稲,h34q3x6v8g,2,6,1,8,0,4,1,5,2,5
4,電資AI,112590416,觃犡岒,v68033kzgf,3,2,9,9,4,8,7,9,8,4
5,資工系,112590259,肑铫欀,dn02ai58nz,1,0,8,5,0,3,5,7,3,3
6,電資資安,112590334,褜軒赫,kdafzu2gj6i,8,7,2,1,5,4,3,1,9,6
7,電資AI,112C52589,鼳鼜绘,aghjyjgi2d,9,2,9,0,7,5,2,1,0,3
8,電資資安,111590550,肦圾攋,ft708pb7q8k,4,7,8,0,6,4,0,9,4,1
9,創新AI,111C52925,檉魭揔,tbi24wpz2m,7,4,1,6,2,8,1,3,1,3
10,資工所,111590370,芛耉臆,uj71i5b0vn,5,0,6,5,3,7,9,7,5,8
11,電資資安,112590143,漘璲璣,yhzvgb8uog,0,1,6,4,6,7,5,0,5,8
12,創新AI,111590728,孃橵藁,m9zlddd2ha,4,8,6,0,8,1,8,1,7,2
13,電資AI,112590403,氓闿猋,mzu43yzf9,2,0,2,4,0,9,7,8,2,0
14,資工所,112590385,幖澻苹,anh3fwvr5c,7,4,8,8,1,9,3,6,3,8
15,資工系,112C52901,琀锯罂,vpeorb3hp,4,8,3,1,0,2,2,2,7,7
16,資工所,112C52039,輝桵郉,jumtm1z7sd,3,1,0,0,4,8,7,2,9,6
17,電資資安,112C52632,矱銚魯,7m9obj598q,8,2,3,9,9,0,9,9,0,3
18,電資資安,112590036,楬炮鉜,yg64upo9zy,2,7,7,2,9,4,8,0,1,3
19,電資AI,111590075,賢雔忑,fbvetzg764,1,3,1,5,3,6,8,1,2,1
20,電資AI,112C52547,氡賑呰,w1sa5tnehj,4,8,0,3,2,3,4,5,3,6
21,創新AI,111C52329,鞫噹拵,2jtu33d584,8,9,5,3,2,7,1,4,9,8
22,電資資安,111C52979,宸仌痁,p63ssjadw9,3,9,0,1,4,4,5,0,2,7
23,電資AI,111590031,繷礌潦,n8dieu85d5,6,6,8,2,6,5,7,8,5,4
24,資工系,112C52367,鰴戆詗,by5q55bqqt,4,8,8,8,1,5,6,4,1,1
25,資工所,112C52661,渑寿鳜,7bqviarise,5,1,6,6,5,0,2,8,2,2
26,電資AI,112590949,睔死獣,72ovid4f00h,0,9,3,4,4,9,5,1,9,4
27,電資資安,111C52043,俯盪闪,mv6db4sdtf,9,8,4,1,4,6,9,7,9,2
28,創新AI,112C52748,玤瘝钦,fju93h03yp,2,1,8,4,1,7,3,2,7,7
29,電資AI,112C52944,垵靇港,959e8oz22h,7,9,9,7,6,5,0,9,1,4
30,電資AI,112C52079,培栜胊,apdzfoqfy8,3,2,2,5,5,6,3,9,0,9
31,資工系,112590816,濉娄齇,ems8cpq9bzf,8,0,3,1,0,8,1,9,4,5
32,資工系,111C52967,奻轾橬,symkpgou58,8,6,1,1,6,1,3,9,5,5
33,電資AI,111C52253,屢榇菬,k8fmnu6l29,5,8,4,4,7,2,0,6,7,1
34,資工系,112590559,荖栌魨,71ndoj14m5,1,4,5,5,4,5,4,8,1,5
35,電資AI,111590613,鴕姄眏,zhdg8qm7ra,1,5,4,9,0,4,5,2,4,7
36,資工系,112590438,勜髈敊,23271uqhbe,1,3,7,5,6,2,3,1,8,7
37,電資資安,112C52100,佋緥兙,hhg89i5dlm,8,5,5,8,4,4,1,8,2,0
38,電資資安,111C52053,鬮朢姡,rdhr20f3z2k,5,4,8,0,2,2,8,5,2,2
39,資工所,111590213,篁彆縝,9xpdna5cyz,2,6,5,5,0,9,8,9,3,3
40,資工系,111C52107,啲嫚簀,7ng4y047zq,7,5,1,5,2,3,8,2,7,6
41,電資AI,111C52923,充貆毕,ty0imf1z79,0,7,5,1,7,4,1,6,1,5
42,電資資安,111C52859,呵牮鮓,qmzc0pf715,0,8,5,7,9,3,8,6,4,9
43,資工所,112C52701,阍噩量,7w4ypywfaa,5,6,9,4,4,2,7,3,1,2
44,創新AI,111C52835,囌燿瑈,1hr8l66x3w,4,9,9,4,3,0,9,4,8,1
45,創新AI,111590545,弾櫐阐,52siijivyg,1,7,1,6,5,5,7,6,1,1
46,資工系,111590883,鳋蹥奉,x7tbk6ndmdl,0,5,2,7,5,9,8,3,1,5
47,創新AI,111590338,欸歀鐉,3wtiylv0ng,0,7,4,8,8,1,7,2,9,2
48,創新AI,111590384,逖胶髣,yzle3ptzon,2,7,2,8,7,8,4,6,1,1
49,電資資安,111590072,垽峟桿,hmlv0vzn78,6,1,8,0,6,7,5,7,1,3
50,資工所,112590049,丅熐驳,eapmqwj2qf,8,6,6,1,6,1,6,4,9,2
51,電資AI,111C52815,褦濠艒,nt2v3fs3sm,6,5,0,1,8,1,3,9,3,4
52,資工系,111590793,锤民偶,rpz63fzicyk,8,6,8,0,3,2,5,5,7,5
53,電資資安,111590106,籑鼎卻,auupg30ot,5,4,4,5,2,9,6,3,2,6
54,資工系,111C52524,睢幡笟,ve7hkvwwz8,2,4,6,1,4,3,2,8,5,1
55,資工所,111C52195,垷痷齷,chu03ru2d5j,3,2,0,5,7,1,6,3,4,3
56,電資資安,112590310,訚丌嚳,0s37a5ste6,4,6,0,3,5,9,5,6,9,1
57,創新AI,112C52606,晊繈菠,fb3403v3o5,7,6,3,9,7,7,6,8,5,2
58,資工系,111C52519,襹鹂愗,ov9cbchx2d,4,1,5,3,7,3,2,6,1,0
59,資工系,112590938,輆對箅,vw6akpof1k,7,4,9,7,4,6,2,5,3,1
60,電資資安,111590600,蝟榤洢,752vl2tom6,7,1,4,2,8,0,6,2,7,6
61,電資AI,112590902,屻烽黪,t39oap0bkch,0,5,3,5,1,9,8,5,6,5
62,電資資安,112C52849,間琎勇,myhzw16ool,5,6,1,8,9,1,7,7,8,9
63,電資AI,112C52972,僼戺唂,u4o2vznbgc,6,4,0,6,3,1,0,4,6,4
64,創新AI,111C52323,蟇岀渦,3jxinvjg3j,5,0,5,9,5,4,3,0,5,2
65,創新AI,111590991,懜岵掷,srjf05nuxv,7,1,3,2,4,2,8,6,3,6
66,資工系,111590951,玫倻潚,gn4kdocj4c,6,6,2,0,1,1,7,2,3,3
67,資工所,111C52792,圧朤騶,hy487y32pz,2,5,9,9,5,5,6,2,6,7
68,電資資安,112C52054,涐啒橐,vs4ebzaumd,1,0,4,5,5,2,1,8,5,3
69,電資資安,111C52274,嬸襽奤,ms7rrymwn5,3,7,8,9,0,3,5,2,8,6
70,創新AI,111C52974,戒赞鴴,utthu4owsd,1,5,6,7,6,3,8,9,6,3
71,電資AI,111590889,頭损澑,u0utpuvh5j,2,4,7,2,9,1,0,5,0,5
72,資工系,112C52891,夥跓藏,2u2jhwmy3v,9,2,0,7,0,7,8,3,0,8
73,電資AI,111C52131,醺榗儫,rkqaf97p6w,0,8,7,3,4,0,8,3,5,0
74,資工所,112C52515,炇晟邥,r72q7rqtxbl,3,9,2,6,6,8,1,8,4,5
75,電資AI,112C52722,顟獤鲿,j2hdgfq2xd,0,8,7,8,1,1,5,4,5,9
76,電資資安,111C52045,捿炎躊,y2tjqow2pz,5,5,8,1,7,4,1,6,3,6
77,資工所,111590535,嶝欙礐,k1k9lcvjqe,5,4,0,0,7,3,2,4,5,4
78,創新AI,111C52484,挠搡谍,di8abcccwz,9,0,6,7,1,4,7,9,0,4
79,資工系,112590532,园璣酾,gegausx6v1,4,2,7,0,4,1,5,7,2,2
80,資工所,111590983,妔鬬玻,yvgpmy0w23,1,4,9,3,5,5,4,7,6,2
81,資工所,111C52114,擡蝷鈾,9v0pyump9hi,4,5,1,8,2,6,3,8,2,4
82,電資AI,111C52025,莇帉澠,30n32dsm4o,7,7,1,6,8,6,7,8,1,5
83,資工所,111C52152,阭揽顦,ojeu3z6u83h,3,3,2,8,6,5,3,0,6,3
84,資工系,112C52928,睴踬鲾,774lsar3hvl,2,5,8,3,6,5,2,5,3,3
85,電資資安,112C52021,凙挢啀,k8akxqgegn,2,6,0,8,6,0,9,4,6,8
86,創新AI,112C52238,鞈堇箚,9f5ao2wckr,8,1,8,6,4,6,1,4,1,9
87,創新AI,111C52074,巉示鼭,cfbqp3rillg,8,7,7,2,1,3,5,4,9,7
88,資工系,112C52003,儠粞闊,zqfoj52x5q,0,4,2,5,2,3,9,3,5,5
89,資工所,111590748,鮽匷赘,p9y4rysxujj,7,8,7,7,1,2,9,0,0,9
90,資工系,111C52011,吾鑞绒,pgx6a6s62m,5,0,6,4,3,1,4,2,8,6
91,創新AI,111C52705,錷晷旳,kn99yg2ci4j,7,5,5,3,6,4,4,5,3,2
92,電資AI,112C52505,窬窍筚,hupay8qfsw,8,2,8,0,7,9,2,1,2,5
93,創新AI,111590560,萭鿽嬅,fmllb8me7q,3,8,5,2,7,5,9,6,0,7
94,創新AI,111C52661,亸触佨,gdhcmd110m,7,4,6,1,7,4,3,1,6,9
95,資工系,111C52240,楥喟滶,0oc9o6m1h6,3,7,9,4,7,3,3,1,5,3
96,電資資安,111590638,鎆鍒慵,vgfmyh561l,4,7,8,6,7,8,9,6,3,0
97,電資AI,111C52545,賫牋篺,2cncip6szai,2,8,6,6,9,0,3,5,3,3
98,電資AI,112C52324,剤竗匊,491pmuiqtv,3,3,8,1,0,2,0,7,2,7
99,電資資安,112590969,邻菞沢,06g80sd1du,4,9,0,6,4,5,2,7,3,5
100,電資資安,112590625,瀯齶熌,s9j9mnc94v,1,7,4,1,9,1,5,1,5,7
101,電資資安,112590484,軯勯喳,v2yvzj8fng,2,4,4,2,2,3,0,6,1,4
102,資工所,112C52710,餹竳衤,cx29gzpgej,3,3,1,8,7,7,2,9,3,7
103,資工系,111590025,萓厊縊,lrqnft7ysei,3,8,4,6,7,6,2,7,2,2
104,資工系,112C52697,熟惌桜,08sa4h755x,2,5,6,6,6,7,3,3,1,4
105,電資AI,111590292,睝閱桅,kh14k7x2q4j,5,1,5,2,7,6,8,3,5,3
106,創新AI,112C52410,飹郳脔,g0q79oshui,4,8,6,1,2,4,9,0,4,6
107,資工所,111C52380,坃紑鲯,iqdxy4jwxh,5,4,0,1,5,8,1,1,0,5
108,資工所,111C52765,郊盗浆,jvh7cl0jn3,9,9,6,1,5,1,6,1,6,6
109,電資AI,112C52626,偕饁儕,ts8hcsdbgj,1,7,2,2,5,6,9,2,7,8
110,資工系,111C52814,轶侘牁,efwfrp3e9z,5,5,8,4,3,3,8,9,3,9
111,電資資安,112590765,郂謵孂,7ef7yqomoa,1,1,5,0,9,0,1,2,8,5
112,電資資安,112590785,堳鶰哳,yp584rwf68,7,2,1,1,8,5,6,7,8,9
113,創新AI,112C52759,蜞愺鳱,43b1over96k,6,8,2,9,4,1,8,8,9,2
114,創新AI,111C52782,涃潋愮,ii72rtxvbt,5,8,4,8,9,8,5,7,8,0
115,電資AI,112590007,澬紳瘍,cvrln5an3y,2,1,7,0,4,3,3,5,0,4
116,資工系,112590203,蒊菝砷,z2pfaqaui8,8,7,4,7,1,5,3,9,9,0
117,資工系,112C52220,婆倻龶,fbv36viduj,4,8,7,9,6,1,0,7,8,7
118,電資資安,111590556,鑍碹编,6wl0h4ulrci,1,9,0,1,0,9,0,1,1,8
119,電資資安,111C52872,契溕礕,tsgnabvsk4,0,8,9,2,5,2,9,4,6,5
120,資工所,111590521,餌齛烡,jp5wmnqhb4,6,2,9,5,3,4,0,2,0,6
